id,first_name,last_name,password,position,salary,role
1,amir,bernstein,12345678,teacher,10,teacher
2,hen,biton,12345678,admin,10,admin
3,amiram,ber,12345678,teacher,10,teacher
4,yoel,Ouday,175,student,170,student
5,rachel,ami,12345678,teacher,10,teacher
6,neomi,gil,12345678,teacher,10,teacher
7,nina,levi,12345678,teacher,10,teacher
8,noga,dodo,12345678,teacher,10,teacher
9,bela,bili,12345678,teacher,10,teacher
10,lili,bob,12345678,teacher,10,teacher
11,jonny,bar,12345678,teacher,10,teacher
12,yoni,len,12345678,teacher,10,teacher
13,gal,ran,12345678,teacher,10,teacher
